Country,State,StateName,Region,SalesPerson,SalesManager,SalesValue,DateOfSale,YearOfSale,MonthOfSale,Season
USA,Northern Mariana Islands,MP,West,David Kim,Tariq Khan,"7,562,803.00","Sunday, December 24, 2017",2017,Dec,Winter
USA,Rhode Island,RI,West,David Kim,Tariq Khan,"1,113,073.00","Sunday, December 25, 2016",2016,Dec,Winter
USA,Texas,TX,North,Leila Abadi,Mei Chen,"8,448,687.00","Saturday, May 17, 2014",2014,May,Spring
USA,American Samoa,AS,West,Jamal Al-Farsi,Mohammad Rahman,"954,743.00","Thursday, January 14, 2010",2010,Jan,Winter
USA,Arkansas,AR,East,Maria Garcia,Elena Costa,"25,086,721.00","Tuesday, June 2, 2020",2020,Jun,Summer
USA,Oregon,OR,West,Liu Wei,Sophia Li,"1,132,779.00","Thursday, June 19, 2014",2014,Jun,Summer
USA,Trust Territories,TT,South-East,Yuri Petrov,Mohammad Rahman,"17,166,014.00","Sunday, July 28, 2013",2013,Jul,Summer
USA,Kansas,KS,East,Ahmed Hassan,Elena Costa,"7,112,270.00","Wednesday, September 19, 2018",2018,Sep,Autumn
USA,Nevada,NV,South-East,Yuki Tanaka,Elena Costa,"1,075,105.00","Friday, December 13, 2013",2013,Dec,Winter
USA,Alabama,AL,South,Yuri Petrov,Tariq Khan,"921,087.00","Sunday, March 4, 2012",2012,Mar,Spring
USA,Vermont,VT,North-West,Miguel Fernandez,Tariq Khan,"3,884,482.00","Sunday, December 13, 2020",2020,Dec,Winter
USA,Florida,FL,South-East,Aisha Abubakar,Elena Costa,"5,507,711.00","Friday, October 17, 2014",2014,Oct,Autumn
USA,Iowa,IA,North-East,Anna Nowak,Mohammad Rahman,"2,557,287.00","Friday, December 13, 2019",2019,Dec,Winter
USA,West Virginia,WV,South,Nguyen Minh,Mohammad Rahman,"16,493,632.00","Monday, June 7, 2010",2010,Jun,Summer
USA,Tennessee,TN,South-West,Marcelo Silva,Sophia Li,"12,831,010.00","Sunday, December 6, 2020",2020,Dec,Winter
USA,Utah,UT,North-East,Mohammed Khan,Mohammad Rahman,"18,002,412.00","Saturday, November 4, 2017",2017,Nov,Autumn
USA,Nevada,NV,North-West,Priya Patel,Mei Chen,"8,619,484.00","Sunday, December 27, 2015",2015,Dec,Winter
USA,Kentucky,KY,South-East,Fatima Mohamed,Tariq Khan,"6,246,194.00","Saturday, May 28, 2016",2016,May,Spring
USA,Connecticut,CT,South,Yuki Tanaka,Mei Chen,"12,156,645.00","Monday, January 2, 2012",2012,Jan,Winter
USA,West Virginia,WV,North,Juan Lopez,Elena Costa,"3,308,600.00","Thursday, May 2, 2013",2013,May,Spring
USA,American Samoa,AS,South,Yuri Petrov,Sophia Li,"8,024,553.00","Monday, December 28, 2015",2015,Dec,Winter
USA,Vermont,VT,North,Nguyen Minh,Elena Costa,"9,338,057.00","Thursday, August 4, 2011",2011,Aug,Summer
USA,West Virginia,WV,South-West,Fatima Mohamed,Mohammad Rahman,"3,861,221.00","Sunday, March 11, 2012",2012,Mar,Spring
USA,Nevada,NV,South,Yuri Petrov,Mohammad Rahman,"19,415,096.00","Sunday, May 26, 2013",2013,May,Spring
USA,North Dakota,ND,South-West,Aisha Abubakar,Elena Costa,"5,352,434.00","Wednesday, June 26, 2013",2013,Jun,Summer
USA,South Dakota,SD,South-East,Fatima Mohamed,Tariq Khan,"2,622,760.00","Saturday, November 30, 2019",2019,Nov,Autumn
USA,Vermont,VT,South-East,Yuki Tanaka,Sophia Li,"12,834,785.00","Wednesday, November 27, 2013",2013,Nov,Autumn
USA,Rhode Island,RI,East,Aisha Abubakar,Mohammad Rahman,"4,856,916.00","Friday, June 25, 2010",2010,Jun,Summer
USA,Nevada,NV,South-East,Marcelo Silva,Elena Costa,"11,748,317.00","Monday, October 14, 2013",2013,Oct,Autumn
USA,South Dakota,SD,North-West,Yuri Petrov,Elena Costa,"15,785,645.00","Tuesday, February 26, 2013",2013,Feb,Winter
USA,Puerto Rico,PR,West,Jamal Al-Farsi,Tariq Khan,"2,138,867.00","Thursday, June 28, 2012",2012,Jun,Summer
USA,Kansas,KS,East,Fatima Mohamed,Mei Chen,"12,525,683.00","Saturday, January 26, 2019",2019,Jan,Winter
USA,Montana,MT,West,Jamal Al-Farsi,Tariq Khan,"3,609,675.00","Friday, March 1, 2019",2019,Mar,Spring
USA,Louisiana,LA,South-East,Liu Wei,Sophia Li,"13,566,033.00","Friday, July 24, 2015",2015,Jul,Summer
USA,Florida,FL,South,Yuki Tanaka,Elena Costa,"6,391,145.00","Thursday, December 16, 2010",2010,Dec,Winter
USA,Michigan,MI,North-West,Jamal Al-Farsi,Mohammad Rahman,"6,551,887.00","Wednesday, October 3, 2012",2012,Oct,Autumn
USA,New Hampshire,NH,South-East,Anna Nowak,Mohammad Rahman,"13,294,423.00","Friday, August 25, 2017",2017,Aug,Summer
USA,District of Columbia,DC,South-East,Ingrid Svensson,Mei Chen,"11,661,877.00","Monday, April 28, 2014",2014,Apr,Spring
USA,Mississippi,MS,North-West,Isabella Rossi,Elena Costa,"9,374,603.00","Sunday, July 26, 2015",2015,Jul,Summer
USA,Washington,WA,North,Miguel Fernandez,Mei Chen,"9,343,512.00","Thursday, April 26, 2018",2018,Apr,Spring
USA,California,CA,South-East,Leila Abadi,Mei Chen,"19,536,883.00","Friday, July 26, 2019",2019,Jul,Summer
USA,Kansas,KS,South-East,Carlos Rodriguez,Mohammad Rahman,"7,295,132.00","Saturday, October 28, 2017",2017,Oct,Autumn
USA,Texas,TX,North,Ingrid Svensson,Elena Costa,"3,298,287.00","Monday, November 1, 2010",2010,Nov,Autumn
USA,Guam,GU,North-West,Ingrid Svensson,Tariq Khan,"9,911,216.00","Friday, May 10, 2013",2013,May,Spring
USA,New Jersey,NJ,South-West,Miguel Fernandez,Mei Chen,"18,307,142.00","Sunday, February 3, 2019",2019,Feb,Winter
USA,Florida,FL,South,Anna Nowak,Tariq Khan,"2,135,440.00","Friday, October 31, 2014",2014,Oct,Autumn
USA,Wisconsin,WI,South,Mohammed Khan,Sophia Li,"17,070,495.00","Monday, July 22, 2019",2019,Jul,Summer
USA,Virgin Islands,VI,North-West,Jamal Al-Farsi,Elena Costa,"6,894,294.00","Wednesday, March 30, 2016",2016,Mar,Spring
USA,Texas,TX,East,Aisha Abubakar,Sophia Li,"1,654,189.00","Saturday, July 30, 2016",2016,Jul,Summer
USA,Tennessee,TN,East,Liu Wei,Sophia Li,"4,734,256.00","Saturday, October 3, 2020",2020,Oct,Autumn
USA,Trust Territories,TT,North,Maria Garcia,Sophia Li,"12,293,804.00","Wednesday, July 11, 2012",2012,Jul,Summer
USA,Virgin Islands,VI,North-East,Priya Patel,Mohammad Rahman,"9,850,035.00","Sunday, February 14, 2010",2010,Feb,Winter
USA,Guam,GU,South-West,Jamal Al-Farsi,Mohammad Rahman,"13,206,091.00","Sunday, September 10, 2017",2017,Sep,Autumn
USA,District of Columbia,DC,South-East,Yuri Petrov,Sophia Li,"14,048,910.00","Saturday, December 24, 2016",2016,Dec,Winter
USA,Nebraska,NE,South,Ingrid Svensson,Tariq Khan,"3,923,812.00","Tuesday, September 27, 2016",2016,Sep,Autumn
USA,New York,NY,West,Carlos Rodriguez,Mohammad Rahman,"2,934,104.00","Monday, February 15, 2016",2016,Feb,Winter
USA,New Mexico,NM,South-East,Miguel Fernandez,Tariq Khan,"1,020,953.00","Wednesday, September 30, 2015",2015,Sep,Autumn
USA,Idaho,ID,North-West,Marcelo Silva,Mohammad Rahman,"4,721,774.00","Saturday, January 11, 2014",2014,Jan,Winter
USA,Alaska,AK,South-West,Isabella Rossi,Tariq Khan,"4,313,127.00","Sunday, August 2, 2020",2020,Aug,Summer
USA,North Carolina,NC,North-West,Ahmed Hassan,Sophia Li,"18,898,938.00","Wednesday, August 26, 2015",2015,Aug,Summer
USA,Delaware,DE,North,Priya Patel,Mohammad Rahman,"1,598,451.00","Friday, March 18, 2011",2011,Mar,Spring
USA,Oklahoma,OK,East,David Kim,Mei Chen,"3,705,276.00","Saturday, May 16, 2020",2020,May,Spring
USA,Kansas,KS,East,Yuki Tanaka,Mohammad Rahman,"11,190,517.00","Thursday, November 21, 2013",2013,Nov,Autumn
USA,Louisiana,LA,South-East,Mohammed Khan,Mei Chen,"11,325,928.00","Sunday, September 25, 2016",2016,Sep,Autumn
USA,Vermont,VT,South,Nguyen Minh,Tariq Khan,"3,590,574.00","Wednesday, November 8, 2017",2017,Nov,Autumn
USA,Maine,ME,South-West,Isabella Rossi,Tariq Khan,"6,677,318.00","Friday, January 1, 2010",2010,Jan,Winter
USA,Texas,TX,North-East,Yuri Petrov,Mei Chen,"16,355,962.00","Saturday, September 20, 2014",2014,Sep,Autumn
USA,Wyoming,WY,East,Priya Patel,Tariq Khan,"5,015,068.00","Monday, October 14, 2019",2019,Oct,Autumn
USA,Guam,GU,West,Maria Garcia,Sophia Li,"1,103,498.00","Saturday, November 28, 2015",2015,Nov,Autumn
USA,Oregon,OR,North-West,Yuki Tanaka,Mohammad Rahman,"7,725,365.00","Thursday, October 24, 2019",2019,Oct,Autumn
USA,California,CA,East,Liu Wei,Tariq Khan,"6,581,320.00","Monday, May 19, 2014",2014,May,Spring
USA,Alaska,AK,North-West,Jamal Al-Farsi,Sophia Li,"2,178,168.00","Sunday, May 19, 2019",2019,May,Spring
USA,Alabama,AL,South-East,Carlos Rodriguez,Elena Costa,"15,572,050.00","Sunday, September 28, 2014",2014,Sep,Autumn
USA,South Carolina,SC,North-West,Ingrid Svensson,Tariq Khan,"16,037,148.00","Wednesday, October 26, 2016",2016,Oct,Autumn
USA,Tennessee,TN,South-East,Anna Nowak,Elena Costa,"1,792,592.00","Sunday, November 30, 2014",2014,Nov,Autumn
USA,Iowa,IA,South-West,Aisha Abubakar,Sophia Li,"12,980,288.00","Monday, April 16, 2018",2018,Apr,Spring
USA,New Mexico,NM,North-East,David Kim,Mei Chen,"22,585,224.00","Thursday, August 23, 2018",2018,Aug,Summer
USA,Montana,MT,South-West,Liu Wei,Elena Costa,"7,828,276.00","Saturday, May 15, 2010",2010,May,Spring
USA,Montana,MT,South-East,Maria Garcia,Sophia Li,"1,722,691.00","Wednesday, June 30, 2010",2010,Jun,Summer
USA,Puerto Rico,PR,North-West,Leila Abadi,Tariq Khan,"13,804,622.00","Tuesday, January 1, 2019",2019,Jan,Winter
USA,South Carolina,SC,South-West,Yuki Tanaka,Tariq Khan,"20,140,036.00","Monday, January 22, 2018",2018,Jan,Winter
USA,Rhode Island,RI,South-East,Ingrid Svensson,Sophia Li,"9,133,402.00","Monday, November 23, 2015",2015,Nov,Autumn
USA,Tennessee,TN,South,Leila Abadi,Mei Chen,"853,791.00","Friday, March 23, 2012",2012,Mar,Spring
USA,California,CA,North-East,Miguel Fernandez,Elena Costa,"2,680,968.00","Thursday, June 27, 2013",2013,Jun,Summer
USA,Massachusetts,MA,South-West,Anna Nowak,Mei Chen,"18,693,223.00","Wednesday, October 3, 2018",2018,Oct,Autumn
USA,South Dakota,SD,East,Liu Wei,Elena Costa,"7,570,798.00","Wednesday, September 19, 2012",2012,Sep,Autumn
USA,Puerto Rico,PR,North,Leila Abadi,Tariq Khan,"3,627,514.00","Sunday, February 2, 2020",2020,Feb,Winter
USA,Indiana,IN,South-West,Marcelo Silva,Sophia Li,"18,567,203.00","Wednesday, December 5, 2018",2018,Dec,Winter
USA,New Mexico,NM,South-East,Priya Patel,Mei Chen,"1,654,755.00","Saturday, May 4, 2019",2019,May,Spring
USA,Arkansas,AR,South-East,Maria Garcia,Mei Chen,"8,227,564.00","Saturday, December 31, 2011",2011,Dec,Winter
USA,Virginia,VA,North,Fatima Mohamed,Mohammad Rahman,"1,443,778.00","Sunday, June 2, 2019",2019,Jun,Summer
USA,Virgin Islands,VI,South-West,Leila Abadi,Sophia Li,"18,172,946.00","Tuesday, December 15, 2015",2015,Dec,Winter
USA,Massachusetts,MA,South,Isabella Rossi,Sophia Li,"18,989,613.00","Saturday, November 26, 2016",2016,Nov,Autumn
USA,Oregon,OR,South,Marcelo Silva,Tariq Khan,"12,828,006.00","Sunday, August 7, 2016",2016,Aug,Summer
USA,West Virginia,WV,North-East,Fatima Mohamed,Mohammad Rahman,"16,904,032.00","Friday, April 22, 2011",2011,Apr,Spring
USA,Puerto Rico,PR,North-West,Mohammed Khan,Sophia Li,"1,883,733.00","Saturday, March 14, 2015",2015,Mar,Spring
USA,Kentucky,KY,North-East,Carlos Rodriguez,Tariq Khan,"4,815,450.00","Saturday, September 22, 2018",2018,Sep,Autumn
USA,Kentucky,KY,West,Marcelo Silva,Sophia Li,"9,650,230.00","Saturday, February 22, 2020",2020,Feb,Winter
USA,Vermont,VT,North,Carlos Rodriguez,Sophia Li,"1,350,388.00","Sunday, March 6, 2016",2016,Mar,Spring
USA,North Dakota,ND,North-East,Maria Garcia,Tariq Khan,"11,648,844.00","Friday, October 20, 2017",2017,Oct,Autumn
USA,New Hampshire,NH,North,Ahmed Hassan,Mei Chen,"2,724,643.00","Sunday, September 20, 2020",2020,Sep,Autumn
USA,Kentucky,KY,North,Anna Nowak,Mohammad Rahman,"10,685,132.00","Friday, March 29, 2013",2013,Mar,Spring
USA,Colorado,CO,South-West,Miguel Fernandez,Elena Costa,"5,560,607.00","Thursday, November 5, 2020",2020,Nov,Autumn
USA,Vermont,VT,South,Anna Nowak,Sophia Li,"10,911,752.00","Wednesday, March 26, 2014",2014,Mar,Spring
USA,Nevada,NV,North-East,Mohammed Khan,Mohammad Rahman,"1,966,039.00","Saturday, October 17, 2020",2020,Oct,Autumn
USA,New Mexico,NM,East,Priya Patel,Mei Chen,"20,812,859.00","Monday, January 27, 2014",2014,Jan,Winter
USA,Kansas,KS,East,Maria Garcia,Tariq Khan,"8,376,054.00","Friday, January 25, 2019",2019,Jan,Winter
USA,Georgia,GA,North-East,Anna Nowak,Tariq Khan,"8,494,857.00","Friday, April 22, 2011",2011,Apr,Spring
USA,New York,NY,North-West,Maria Garcia,Mei Chen,"6,974,355.00","Friday, October 28, 2011",2011,Oct,Autumn
USA,Arizona,AZ,North-West,Jamal Al-Farsi,Elena Costa,"16,047,857.00","Sunday, September 8, 2019",2019,Sep,Autumn
USA,New Jersey,NJ,South,Fatima Mohamed,Tariq Khan,"16,700,935.00","Saturday, November 17, 2018",2018,Nov,Autumn
USA,Kentucky,KY,South-East,Priya Patel,Tariq Khan,"12,674,184.00","Sunday, March 15, 2015",2015,Mar,Spring
USA,Maine,ME,South,Aisha Abubakar,Elena Costa,"1,615,364.00","Saturday, September 3, 2016",2016,Sep,Autumn
USA,Guam,GU,South-West,Jamal Al-Farsi,Mohammad Rahman,"13,666,426.00","Saturday, July 9, 2011",2011,Jul,Summer
USA,Florida,FL,West,Nguyen Minh,Mohammad Rahman,"2,171,292.00","Friday, August 7, 2020",2020,Aug,Summer
USA,Vermont,VT,East,Maria Garcia,Sophia Li,"12,757,145.00","Friday, July 11, 2014",2014,Jul,Summer
USA,Utah,UT,North-West,Mohammed Khan,Elena Costa,"6,376,070.00","Saturday, May 7, 2016",2016,May,Spring
USA,Wyoming,WY,North-West,Jamal Al-Farsi,Sophia Li,"1,081,709.00","Wednesday, April 21, 2010",2010,Apr,Spring
USA,Kentucky,KY,East,Juan Lopez,Tariq Khan,"2,297,756.00","Monday, November 28, 2011",2011,Nov,Autumn
USA,Oregon,OR,South-West,Mohammed Khan,Elena Costa,"2,630,484.00","Tuesday, October 20, 2015",2015,Oct,Autumn
USA,Nebraska,NE,South,Jamal Al-Farsi,Mohammad Rahman,"10,829,433.00","Friday, October 31, 2014",2014,Oct,Autumn
USA,Alaska,AK,South,Miguel Fernandez,Tariq Khan,"5,287,143.00","Saturday, November 2, 2019",2019,Nov,Autumn
USA,North Dakota,ND,North-West,Maria Garcia,Elena Costa,"8,555,490.00","Saturday, October 17, 2015",2015,Oct,Autumn
USA,Kentucky,KY,South-West,Jamal Al-Farsi,Elena Costa,"1,139,623.00","Tuesday, May 13, 2014",2014,May,Spring
USA,Guam,GU,South,Isabella Rossi,Mohammad Rahman,"14,567,387.00","Tuesday, May 27, 2014",2014,May,Spring
USA,Kansas,KS,North-East,Maria Garcia,Sophia Li,"5,577,778.00","Saturday, September 28, 2013",2013,Sep,Autumn
USA,Nebraska,NE,South-West,Ingrid Svensson,Mohammad Rahman,"1,803,804.00","Tuesday, October 14, 2014",2014,Oct,Autumn
USA,Wyoming,WY,South-West,David Kim,Tariq Khan,"14,600,145.00","Tuesday, November 19, 2019",2019,Nov,Autumn
USA,Montana,MT,South,Miguel Fernandez,Mohammad Rahman,"2,699,060.00","Saturday, February 20, 2010",2010,Feb,Winter
USA,North Dakota,ND,South-West,Yuki Tanaka,Sophia Li,"1,305,406.00","Wednesday, March 27, 2013",2013,Mar,Spring
USA,Puerto Rico,PR,East,Marcelo Silva,Elena Costa,"4,759,460.00","Sunday, November 29, 2015",2015,Nov,Autumn
USA,Oklahoma,OK,North-East,Yuri Petrov,Mohammad Rahman,"14,540,316.00","Monday, December 30, 2013",2013,Dec,Winter
USA,Puerto Rico,PR,North-East,Jamal Al-Farsi,Tariq Khan,"2,162,200.00","Friday, October 13, 2017",2017,Oct,Autumn
USA,California,CA,North,Isabella Rossi,Sophia Li,"5,587,271.00","Thursday, August 14, 2014",2014,Aug,Summer
USA,American Samoa,AS,West,Juan Lopez,Elena Costa,"4,059,220.00","Friday, December 12, 2014",2014,Dec,Winter
USA,Ohio,OH,South,Carlos Rodriguez,Sophia Li,"11,623,967.00","Sunday, February 2, 2020",2020,Feb,Winter
USA,Maryland,MD,South,Ingrid Svensson,Tariq Khan,"7,889,330.00","Sunday, December 4, 2011",2011,Dec,Winter
USA,Wyoming,WY,South,Yuri Petrov,Mohammad Rahman,"12,174,954.00","Saturday, February 6, 2010",2010,Feb,Winter
USA,Arizona,AZ,South,Yuki Tanaka,Mohammad Rahman,"919,633.00","Sunday, March 18, 2018",2018,Mar,Spring
USA,Pennsylvania,PA,South,Ahmed Hassan,Mohammad Rahman,"1,374,431.00","Wednesday, December 26, 2012",2012,Dec,Winter
USA,Nevada,NV,South,Juan Lopez,Sophia Li,"882,522.00","Monday, March 28, 2016",2016,Mar,Spring
USA,North Carolina,NC,West,Carlos Rodriguez,Sophia Li,"1,752,184.00","Saturday, October 19, 2013",2013,Oct,Autumn
USA,Indiana,IN,West,Priya Patel,Elena Costa,"107,603.00","Wednesday, October 26, 2011",2011,Oct,Autumn
USA,Puerto Rico,PR,North,Marcelo Silva,Sophia Li,"7,434,796.00","Friday, April 27, 2012",2012,Apr,Spring
USA,Arkansas,AR,South-West,Fatima Mohamed,Elena Costa,"10,425,462.00","Wednesday, February 27, 2019",2019,Feb,Winter
USA,Iowa,IA,North-East,Miguel Fernandez,Mohammad Rahman,"17,995,979.00","Monday, October 12, 2015",2015,Oct,Autumn
USA,Kentucky,KY,North-East,Yuri Petrov,Elena Costa,"2,528,161.00","Tuesday, February 28, 2012",2012,Feb,Winter
USA,Idaho,ID,East,Maria Garcia,Tariq Khan,"11,032,175.00","Thursday, March 17, 2011",2011,Mar,Spring
USA,Nevada,NV,West,Nguyen Minh,Sophia Li,"14,819,748.00","Tuesday, March 29, 2011",2011,Mar,Spring
USA,Colorado,CO,North-West,Liu Wei,Elena Costa,"3,363,198.00","Friday, December 12, 2014",2014,Dec,Winter
USA,Connecticut,CT,North-East,Isabella Rossi,Mohammad Rahman,"6,495,001.00","Friday, November 22, 2013",2013,Nov,Autumn
USA,Ohio,OH,South,Yuri Petrov,Mohammad Rahman,"4,321,936.00","Friday, October 30, 2020",2020,Oct,Autumn
USA,Washington,WA,East,Ahmed Hassan,Mohammad Rahman,"21,175,270.00","Saturday, February 16, 2019",2019,Feb,Winter
USA,Michigan,MI,North-West,Anna Nowak,Mei Chen,"10,769,444.00","Sunday, August 12, 2012",2012,Aug,Summer
USA,Wisconsin,WI,South-West,Leila Abadi,Sophia Li,"765,444.00","Tuesday, August 20, 2013",2013,Aug,Summer
USA,Mississippi,MS,South-East,Miguel Fernandez,Mei Chen,"5,844,215.00","Sunday, September 27, 2020",2020,Sep,Autumn
USA,American Samoa,AS,North-West,Marcelo Silva,Elena Costa,"662,287.00","Monday, September 12, 2016",2016,Sep,Autumn
USA,Alaska,AK,North-West,Mohammed Khan,Tariq Khan,"19,728,426.00","Friday, July 16, 2010",2010,Jul,Summer
USA,North Dakota,ND,West,Yuki Tanaka,Sophia Li,"14,973,837.00","Sunday, January 3, 2016",2016,Jan,Winter
USA,Minnesota,MN,North-West,Ahmed Hassan,Tariq Khan,"11,738,335.00","Sunday, May 26, 2019",2019,May,Spring
USA,New Mexico,NM,North,Priya Patel,Tariq Khan,"3,581,964.00","Thursday, December 10, 2020",2020,Dec,Winter
USA,Virgin Islands,VI,South-East,Carlos Rodriguez,Mohammad Rahman,"1,902,771.00","Wednesday, May 29, 2019",2019,May,Spring
USA,Iowa,IA,North,Marcelo Silva,Elena Costa,"9,000,466.00","Wednesday, May 19, 2010",2010,May,Spring
USA,Alaska,AK,North-West,Marcelo Silva,Mohammad Rahman,"3,838,577.00","Thursday, October 4, 2012",2012,Oct,Autumn
USA,New York,NY,East,Miguel Fernandez,Tariq Khan,"268,761.00","Wednesday, March 28, 2018",2018,Mar,Spring
USA,Northern Mariana Islands,MP,South-West,Jamal Al-Farsi,Mohammad Rahman,"3,189,826.00","Tuesday, October 17, 2017",2017,Oct,Autumn
USA,Washington,WA,South-East,Aisha Abubakar,Tariq Khan,"2,696,779.00","Saturday, June 16, 2012",2012,Jun,Summer
USA,New Mexico,NM,North-West,Priya Patel,Tariq Khan,"4,714,151.00","Monday, July 7, 2014",2014,Jul,Summer
USA,Washington,WA,South-West,Ingrid Svensson,Sophia Li,"16,981,550.00","Sunday, May 7, 2017",2017,May,Spring
USA,Kansas,KS,West,Maria Garcia,Tariq Khan,"7,778,215.00","Wednesday, May 29, 2013",2013,May,Spring
USA,South Carolina,SC,North,David Kim,Mohammad Rahman,"4,713,628.00","Tuesday, October 22, 2019",2019,Oct,Autumn
USA,District of Columbia,DC,South,Marcelo Silva,Tariq Khan,"597,549.00","Monday, May 14, 2012",2012,May,Spring
USA,Connecticut,CT,North,Leila Abadi,Elena Costa,"4,670,178.00","Thursday, May 9, 2013",2013,May,Spring
USA,American Samoa,AS,East,Jamal Al-Farsi,Mohammad Rahman,"15,594,645.00","Tuesday, June 12, 2012",2012,Jun,Summer
USA,Wisconsin,WI,South-West,Maria Garcia,Tariq Khan,"5,816,669.00","Saturday, March 1, 2014",2014,Mar,Spring
USA,Colorado,CO,North,Maria Garcia,Mohammad Rahman,"4,143,833.00","Friday, March 7, 2014",2014,Mar,Spring
USA,Michigan,MI,North-West,Liu Wei,Mohammad Rahman,"2,952,244.00","Saturday, November 2, 2019",2019,Nov,Autumn
USA,Massachusetts,MA,North,Yuki Tanaka,Tariq Khan,"4,848,432.00","Thursday, September 1, 2016",2016,Sep,Autumn
USA,Oklahoma,OK,East,Marcelo Silva,Sophia Li,"17,121,817.00","Tuesday, November 10, 2015",2015,Nov,Autumn
USA,West Virginia,WV,North,Priya Patel,Mei Chen,"13,822,273.00","Thursday, January 23, 2020",2020,Jan,Winter
USA,American Samoa,AS,North-East,Mohammed Khan,Elena Costa,"4,280,069.00","Sunday, May 19, 2019",2019,May,Spring
USA,Puerto Rico,PR,South-West,Priya Patel,Elena Costa,"11,427,439.00","Thursday, June 3, 2010",2010,Jun,Summer
USA,Illinois,IL,South-East,Miguel Fernandez,Elena Costa,"7,990,780.00","Friday, February 10, 2017",2017,Feb,Winter
USA,Connecticut,CT,North,David Kim,Elena Costa,"2,704,196.00","Thursday, February 27, 2020",2020,Feb,Winter
USA,Missouri,MO,South-West,Juan Lopez,Mei Chen,"16,975,404.00","Friday, December 20, 2019",2019,Dec,Winter
USA,Vermont,VT,West,Carlos Rodriguez,Tariq Khan,"7,775,953.00","Monday, December 24, 2012",2012,Dec,Winter
USA,North Carolina,NC,North,Ingrid Svensson,Mohammad Rahman,"8,537,320.00","Saturday, April 27, 2019",2019,Apr,Spring
USA,Louisiana,LA,North-East,Mohammed Khan,Sophia Li,"2,457,057.00","Thursday, June 19, 2014",2014,Jun,Summer
USA,District of Columbia,DC,North-East,Ahmed Hassan,Mohammad Rahman,"6,807,340.00","Monday, June 30, 2014",2014,Jun,Summer
USA,Maryland,MD,East,Carlos Rodriguez,Mei Chen,"648,454.00","Thursday, July 14, 2016",2016,Jul,Summer
USA,Kentucky,KY,West,Juan Lopez,Mohammad Rahman,"8,328,105.00","Saturday, August 6, 2016",2016,Aug,Summer
USA,Nevada,NV,South-West,Carlos Rodriguez,Tariq Khan,"8,286,213.00","Friday, December 7, 2012",2012,Dec,Winter
USA,Tennessee,TN,North-West,Fatima Mohamed,Sophia Li,"10,105,425.00","Friday, December 1, 2017",2017,Dec,Winter
USA,Virgin Islands,VI,North-East,Juan Lopez,Mohammad Rahman,"8,882,174.00","Tuesday, March 21, 2017",2017,Mar,Spring
USA,Vermont,VT,South,David Kim,Mei Chen,"3,989,034.00","Saturday, August 23, 2014",2014,Aug,Summer
USA,New Jersey,NJ,North-West,Jamal Al-Farsi,Elena Costa,"14,712,985.00","Thursday, May 26, 2016",2016,May,Spring
USA,Delaware,DE,South-East,Leila Abadi,Sophia Li,"2,752,995.00","Saturday, October 10, 2020",2020,Oct,Autumn
USA,New York,NY,West,Leila Abadi,Mei Chen,"14,165,246.00","Monday, May 23, 2011",2011,May,Spring
USA,New York,NY,East,Ingrid Svensson,Mei Chen,"7,740,884.00","Friday, November 22, 2019",2019,Nov,Autumn
USA,Hawaii,HI,South-West,Aisha Abubakar,Mei Chen,"11,924,503.00","Thursday, October 18, 2012",2012,Oct,Autumn
USA,Pennsylvania,PA,West,Ahmed Hassan,Sophia Li,"11,615,281.00","Monday, April 27, 2020",2020,Apr,Spring
USA,Virgin Islands,VI,North-East,Ahmed Hassan,Tariq Khan,"14,551,967.00","Thursday, July 29, 2010",2010,Jul,Summer
USA,Alaska,AK,West,Leila Abadi,Tariq Khan,"4,441,030.00","Monday, September 21, 2020",2020,Sep,Autumn
USA,Illinois,IL,South-East,Maria Garcia,Elena Costa,"1,026,913.00","Sunday, October 28, 2018",2018,Oct,Autumn
USA,Nebraska,NE,East,David Kim,Sophia Li,"6,368,619.00","Thursday, June 29, 2017",2017,Jun,Summer
USA,Utah,UT,North-West,Mohammed Khan,Sophia Li,"9,525,835.00","Friday, April 3, 2015",2015,Apr,Spring
USA,Hawaii,HI,North-West,Anna Nowak,Elena Costa,"1,225,093.00","Tuesday, October 30, 2018",2018,Oct,Autumn
USA,Maine,ME,West,Yuri Petrov,Sophia Li,"3,400,356.00","Saturday, June 2, 2012",2012,Jun,Summer
USA,Guam,GU,South-East,Yuri Petrov,Tariq Khan,"7,713,508.00","Friday, October 2, 2020",2020,Oct,Autumn
USA,South Carolina,SC,North-West,Jamal Al-Farsi,Sophia Li,"16,803,339.00","Friday, October 19, 2012",2012,Oct,Autumn
USA,Colorado,CO,South,Nguyen Minh,Elena Costa,"20,694,941.00","Thursday, January 1, 2015",2015,Jan,Winter
USA,Hawaii,HI,North-West,Yuki Tanaka,Mohammad Rahman,"2,890,800.00","Monday, September 7, 2015",2015,Sep,Autumn
USA,Oklahoma,OK,South-East,Mohammed Khan,Mei Chen,"666,663.00","Tuesday, November 8, 2016",2016,Nov,Autumn
USA,Utah,UT,North,Carlos Rodriguez,Tariq Khan,"760,146.00","Wednesday, May 8, 2013",2013,May,Spring
USA,Iowa,IA,North,Carlos Rodriguez,Tariq Khan,"10,646,944.00","Saturday, February 25, 2012",2012,Feb,Winter
